,항목명,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월
0,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
1,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
2,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
3,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
4,   판매비,,,,,,,,,,dart_MiscellaneousExpenses,
5,   관리비,,,,,,,,,,dart_LeaseholdAdministrationExpense,
6,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
7,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
8,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
9,기타영업외이익,,,,,,,,,,dart_OtherGains,
10,기타영업외비용,,,,,,,,,,dart_OtherLosses,
11,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
12,법인세비용(수익),,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
13,분기순이익,,,,,,,,,,ifrs-full_ProfitLoss,
14,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
15,   후속적으로 당기손익으로 재분류될 수 있는 항목,,,,,,,,,,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,
16,      매도가능금융자산평가이익,,,,,,,,,,ifrs-full_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,
17,      당기손익으로 재분류될 수 있는 항목의 법인세,,,,,,,,,,dart_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss,
18,당기포괄이익(손실),,,,,,,,,,ifrs-full_ComprehensiveIncome,
19,주당손익,,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
20,   기본및희석주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
21,영업수익,,,,,,,,,,ifrs-full_Revenue,
22,영업비용,,,,,,,,,,ifrs-full_CostOfSales,
23,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
24,기타수익,,,,,,,,,,dart_OtherGains,
25,기타비용,,,,,,,,,,dart_OtherLosses,
26,종속회사및관계회사투자손익,,,,,,,,,,,
27,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
28,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
29,매각예정비유동자산처분이익,,,,,,,,,,,
30,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
31,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
32,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
33,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
34,   후속적으로 당기손익으로 재분류 할 수 없는 항목,,,,,,,,,,,
35,      기타포괄손익-공정가치측정금융자산 평가이익,,,,,,,,,,,
36,      (부의)지분법자본변동,,,,,,,,,,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
37,   후속적으로 당기손익으로 재분류 할 수 있는 항목,,,,,,,,,,,
38,      (부의)지분법자본변동,,,,,,,,,,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
39,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
40,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
41,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
42,영업수익,,,,,,,,,,ifrs-full_Revenue,
43,영업비용,,,,,,,,,,ifrs-full_CostOfSales,
44,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
45,기타이익,,,,,,,,,,dart_OtherGains,
46,기타손실,,,,,,,,,,dart_OtherLosses,
47,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
48,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
49,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
50,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
51,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
52,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
53,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
54,주당순이익,,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
55,   기본주당이익,,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
56,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
57,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
58,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
59,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
60,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
61,기타이익,,,,,,,,,,dart_OtherGains,
62,기타손실,,,,,,,,,,dart_OtherLosses,
63,금융수익_유효이자율법에 따른 이자수익,,,,,,,,,,,
64,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
65,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
66,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
67,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
68,계속영업이익(손실),,,,,,,,,,ifrs-full_ProfitLossFromContinuingOperations,
69,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
70,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
71,   당기손익으로 재분류되지 않는 항목(세전기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossBeforeTax,
72,      확정급여제도의 재측정손익(세전기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,
73,      기타포괄손익공정가치측정금융자산평가이익,,,,,,,,,,,
74,   당기손익으로 재분류될 수 있는 항목(세전기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossBeforeTax,
75,      매도가능금융자산평가손익(세전기타포괄손익),,,,,,,,,,ifrs-full_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsBeforeTax,
76,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
77,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
78,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
79,      계속영업기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,
80,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
81,      계속영업희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,
82,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
83,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
84,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
85,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
86,대손상각비,,,,,,,,,,,
87,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
88,기타수익,,,,,,,,,,dart_OtherGains,
89,기타의 대손상각비,,,,,,,,,,,
90,기타비용,,,,,,,,,,dart_OtherLosses,
91,이자수익,,,,,,,,,,dart_OtherGains,
92,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
93,금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
94,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
95,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
96,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
97,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
98,당기손익으로 재분류되지 않는 항목,,,,,,,,,,,
99,   순확정급여부채의 재측정요소,,,,,,,,,,,
100,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
101,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
102,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
103,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
104,수익(매출액),,,,,,,,,,ifrs-full_Revenue,
105,   재화의 판매로 인한 수익(매출액),,,,,,,,,,ifrs-full_RevenueFromSaleOfGoods,
106,      상품매출액,,,,,,,,,,dart_RevenueFromSaleOfGoodsMerchandise,
107,      제품매출액,,,,,,,,,,dart_RevenueFromSaleOfGoodsProduct,
108,   용역의 제공으로 인한 수익(매출액),,,,,,,,,,ifrs-full_RevenueFromRenderingOfServices,
109,      용역매출액,,,,,,,,,,dart_RevenueFromServices,
110,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
111,   재화의 판매로 인한 수익(매출액)에 대한 매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoods,
112,      상품매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsMerchandises,
113,      제품매출원가,,,,,,,,,,dart_CostOfSalesFromSaleOfGoodsProduct,
114,   용역의 제공으로 인한 수익(매출액)에 대한 매출원가,,,,,,,,,,dart_CostOfSalesFromRenderingOfServices,
115,      용역매출원가,,,,,,,,,,dart_CostOfSalesFromServices,
116,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
117,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
118,   급여,,,,,,,,,,dart_SalariesWages,
119,   상여,,,,,,,,,,dart_Bonus,
120,   퇴직급여,,,,,,,,,,dart_ProvisionForSeveranceIndemnities,
121,   복리후생비,,,,,,,,,,dart_EmployeeBenefits,
122,   여비교통비,,,,,,,,,,dart_TravelExpenses,
123,   접대비,,,,,,,,,,dart_EntertainmentExpenses,
124,   통신비,,,,,,,,,,dart_CommunicationExpenses,
125,   세금과공과,,,,,,,,,,dart_TaxesDues,
126,   감가상각비,,,,,,,,,,dart_DepreciationExpense,
127,   임차료,,,,,,,,,,dart_RentalExpenses,
128,   수선비,,,,,,,,,,dart_RepairExpenses,
129,   보험료,,,,,,,,,,dart_InsurancePremiums,
130,   차량유지비,,,,,,,,,,dart_VehicleMaintenanceExpenses,
131,   경상개발비,,,,,,,,,,dart_OrdinaryDevelopmentExpense,
132,   운반비,,,,,,,,,,dart_FreightExpenses,
133,   교육훈련비,,,,,,,,,,dart_TrainingExpenses,
134,   도서인쇄비,,,,,,,,,,dart_PublicationExpenses,
135,   무형자산상각비,,,,,,,,,,dart_AmortisationExpense,
136,   소모품비,,,,,,,,,,dart_SupplyExpenses,
137,   지급수수료,,,,,,,,,,dart_Commissions,
138,   대손상각비(대손충당금환입),,,,,,,,,,dart_BadDebtExpenses,
139,   주식보상비용(환입),,,,,,,,,,ifrs-full_SharebasedPaymentTransactions,
140,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
141,기타이익,,,,,,,,,,dart_OtherGains,
142,   관계기업/공동기업투자처분이익,,,,,,,,,,dart_GainsOnSaleOfInvestmentsInAssociates,
143,   수입임대료,,,,,,,,,,dart_LentIncome,
144,   잡이익,,,,,,,,,,dart_MiscellaneousIncome,
145,기타손실,,,,,,,,,,dart_OtherLosses,
146,   무형자산손상차손,,,,,,,,,,dart_ImpairmentLossesOnIntangibleAssets,
147,   재고자산 폐기손실,,,,,,,,,,,
148,   기부금,,,,,,,,,,dart_Donations,
149,   파생금융상품거래손실,,,,,,,,,,dart_LossesOnTransactionOfDerivativeFinancialInstrument,
150,   파생금융상품평가손실,,,,,,,,,,dart_LossesOnValuationOfDerivativeFinancialInstrument,
151,   잡손실,,,,,,,,,,dart_MiscellaneousLosses,
152,   지분법손실,,,,,,,,,,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,
153,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
154,   이자수익,,,,,,,,,,dart_InterestIncomeFinanceIncome,
155,   외환차익(금융수익),,,,,,,,,,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,
156,   외화환산이익(금융수익),,,,,,,,,,dart_GainsOnForeignExchangeTranslationsFinancialIncome,
157,   금융보증(계약)수익,,,,,,,,,,dart_GainsFromFinancialGuaranteeFinancialIncome,
158,   파생상품평가이익(금융수익),,,,,,,,,,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,
159,   파생상품거래이익(금융수익),,,,,,,,,,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,
160,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
161,   이자비용,,,,,,,,,,dart_InterestExpenseFinanceExpense,
162,   외환차손(금융원가),,,,,,,,,,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,
163,   외화환산손실(금융원가),,,,,,,,,,dart_LossesOnForeignExchangeTranslationsFinancialExpense,
164,   금융보증비용(손실),,,,,,,,,,dart_LossesFromFinancialGuaranteeFinanceExpense,
165,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
166,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
167,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
168,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
169,   당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
170,      확정급여제도의 재측정손익(세후기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,
171,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
172,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
173,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
174,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
175,영업수익,,,,,,,,,,ifrs-full_Revenue,
176,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
177,영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
178,기타수익,,,,,,,,,,dart_OtherGains,
179,기타비용,,,,,,,,,,dart_OtherLosses,
180,금융수익-유효이자율법에따른이자수익,,,,,,,,,,ifrs-full_FinanceIncome,
181,금융수익-기타,,,,,,,,,,ifrs-full_FinanceIncome,
182,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
183,법인세비용차감전분기순이익,,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
184,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
185,계속사업분기순이익,,,,,,,,,,ifrs-full_ProfitLossFromContinuingOperations,
186,분기순이익,,,,,,,,,,ifrs-full_ProfitLoss,
187,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
188,   당기손익으로 재분류되지 않는 항목,,,,,,,,,,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
189,      순확정급여부채의 재측정요소,,,,,,,,,,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,
190,   후속적으로 당기손익으로 재분류되는 항목,,,,,,,,,,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,
191,당기총포괄이익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
192,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
193,   기본주당이익,,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
194,매출액,,,,,,,,,,ifrs-full_Revenue,
195,매출원가,,,,,,,,,,ifrs-full_CostOfSales,
196,매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
197,판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
198,대손상각비,,,,,,,,,,,
199,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
200,기타수익,,,,,,,,,,dart_OtherGains,
201,기타의대손상각비환입(비용),,,,,,,,,,,
202,기타비용,,,,,,,,,,dart_OtherLosses,
203,금융수익-유효이자율법으로계산한이자수익,,,,,,,,,,ifrs-full_FinanceIncome,
204,금융수익-기타,,,,,,,,,,ifrs-full_FinanceIncome,
205,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
206,법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
207,법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
208,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
209,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
210,   당기손익으로 재분류되지 않는항목,,,,,,,,,,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
211,      순확정급여부채의 재측정요소,,,,,,,,,,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,
212,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
213,주당순이익,,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
214,   기본주당순이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
215,Ⅰ.매출액,,,,,,,,,,ifrs-full_Revenue,
216,Ⅱ.매출원가,,,,,,,,,,ifrs-full_CostOfSales,
217,Ⅲ.매출총이익,,,,,,,,,,ifrs-full_GrossProfit,
218,Ⅳ.판매비와관리비,,,,,,,,,,dart_TotalSellingGeneralAdministrativeExpenses,
219,   1.판매비,,,,,,,,,,,
220,   2.관리비,,,,,,,,,,,
221,Ⅴ.영업이익,,,,,,,,,,dart_OperatingIncomeLoss,
222,Ⅵ.금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
223,Ⅶ.기타이익,,,,,,,,,,dart_OtherGains,
224,Ⅷ.금융비용,,,,,,,,,,ifrs-full_FinanceCosts,
225,X.기타비용,,,,,,,,,,dart_OtherLosses,
226,XI.법인세비용차감전순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
227,XII.법인세비용,,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
228,XIII.당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
229,XIV.기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
230,   당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,
231,      기타포괄손익-공정가치측정지분상품평가손익(세후기타포괄손익),,,,,,,,,,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,
232,      확정급여제도의 재측정손익(세후기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,
233,   당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,,,,,,,,,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,
234,      매도가능금융자산평가손익의 세후재분류조정,,,,,,,,,,ifrs-full_ReclassificationAdjustmentsOnAvailableforsaleFinancialAssetsNetOfTax,
235,XV.총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
236,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
237,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
238,      보통주 기본주당순이익,,,,,,,,,,,
239,      우선주 기본주당순이익,,,,,,,,,,,
240,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
241,      보통주 희석주당순이익,,,,,,,,,,,
242,      우선주 희석주당순이익,,,,,,,,,,,
243,당기순이익,,,,,,,,,,ifrs-full_ProfitLoss,
244,기타포괄손익,,,,,,,,,,ifrs-full_OtherComprehensiveIncome,
245,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
246,영업수익(매출액),,,,,,,,,,ifrs-full_Revenue,
247,영업비용,,,,,,,,,,ifrs-full_CostOfSales,
248,영업이익(손실),,,,,,,,,,dart_OperatingIncomeLoss,
249,금융수익,,,,,,,,,,ifrs-full_FinanceIncome,
250,금융원가,,,,,,,,,,ifrs-full_FinanceCosts,
251,기타이익,,,,,,,,,,dart_OtherGains,
252,기타손실,,,,,,,,,,dart_OtherLosses,
253,법인세비용차감전계속영업순이익(손실),,,,,,,,,,ifrs-full_ProfitLossBeforeTax,
254,계속영업법인세비용(수익),,,,,,,,,,ifrs-full_IncomeTaxExpenseContinuingOperations,
255,계속영업분기순이익(손실),,,,,,,,,,ifrs-full_ProfitLossFromContinuingOperations,
256,세후중단영업분기순손실,,,,,,,,,,,
257,당기순이익(손실),,,,,,,,,,ifrs-full_ProfitLoss,
258,총포괄손익,,,,,,,,,,ifrs-full_ComprehensiveIncome,
259,주당이익 [abstract],,,,,,,,,,ifrs-full_EarningsPerShareAbstract,
260,   기본주당이익(손실),,,,,,,,,,ifrs-full_BasicEarningsLossPerShare,
261,   희석주당이익(손실),,,,,,,,,,ifrs-full_DilutedEarningsLossPerShare,
