,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 1분기 3개월
0,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00148540,영업수익,"69,748,436,000"
1,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"15,694,064,000"
2,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_OperatingIncomeLoss,영업이익,"54,054,372,000"
3,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,기타영업외수익,"30,378,000"
4,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome,금융수익,"1,047,495,000"
5,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceCosts,금융비용,"11,459,381,000"
6,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,"43,672,864,000"
7,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),"-345,859,000"
8,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLoss,당기순이익,"44,018,723,000"
9,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_EarningsPerShareAbstract,주당순이익,nan
10,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShare,   보통주 주당순이익,"1,312"
11,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_DilutedEarningsLossPerShare,   보통주 희석주당순이익,"1,312"
12,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue,매출액,"1,634,485,010,465"
13,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_CostOfSales,매출원가,"1,489,392,293,102"
14,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GrossProfit,매출총이익,"145,092,717,363"
15,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"98,642,028,312"
16,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,dart_OperatingIncomeLoss,영업이익,"46,450,689,051"
17,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome,금융수익,"11,286,984,057"
18,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceCosts,금융원가,"26,320,165,835"
19,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,기타수익,"3,127,465,540"
20,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,dart_OtherLosses,기타비용,"16,481,257,454"
21,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),"18,063,715,359"
22,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,"3,639,017,701"
23,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLoss,분기순이익(손실),"14,424,697,658"
24,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_EarningsPerShareAbstract,주당이익 [abstract],nan
25,[000120],CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShare,   기본 및 희석주당손익(손실),546
26,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue,매출액,"225,803,046,210"
27,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_CostOfSales,매출원가,"133,623,375,136"
28,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GrossProfit,매출총이익,"92,179,671,074"
29,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"27,477,092,571"
30,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,dart_OperatingIncomeLoss,영업이익(손실),"64,702,578,503"
31,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome,금융수익,"3,830,998,274"
32,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceCosts,금융비용,"5,788,871,837"
33,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,기타영업외수익,"6,625,633,239"
34,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherLosses,기타영업외비용,"3,745,749,131"
35,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),"65,624,589,048"
36,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,"10,680,009,105"
37,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실),"54,944,579,943"
38,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익(손실),0
39,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLoss,당기순이익(손실),"54,944,579,943"
40,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_EarningsPerShareAbstract,주당이익 [abstract],nan
41,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShare,   기본주당이익(손실),"1,265"
42,[000990],DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_DilutedEarningsLossPerShare,   희석주당이익(손실),"1,265"
43,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue,수익(매출액),"42,563,061,865"
44,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_CostOfSales,매출원가,"36,367,506,556"
45,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GrossProfit,매출총이익,"6,195,555,309"
46,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"2,647,850,812"
47,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,dart_OperatingIncomeLoss,영업이익(손실),"3,547,704,497"
48,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,기타이익,"1,706,910,595"
49,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherLosses,기타손실,"1,267,786,986"
50,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome,금융수익,"351,478,150"
51,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceCosts,금융원가,"160,370,973"
52,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),"4,177,935,283"
53,[155660],DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,"990,478,945"
