항목명,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월
영업수익,[001040],CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue,"69,748,436,000"
대손상각비,[089470],HDC현대EP,유가증권시장상장법인,204,기타 화학제품 제조업,12,2020-03-31,1분기보고서,KRW,entity00357935_udf_IS_2018810172827970_IncomeStatementAbstract,"1,548,851,826"
이자수익,[089470],HDC현대EP,유가증권시장상장법인,204,기타 화학제품 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,"221,573,545"
이자비용,[089470],HDC현대EP,유가증권시장상장법인,204,기타 화학제품 제조업,12,2020-03-31,1분기보고서,KRW,entity00357935_udf_IS_20181112142334322_IncomeStatementAbstract,"806,110,315"
대손상각비,[294870],HDC현대산업개발,유가증권시장상장법인,411,건물 건설업,12,2020-03-31,1분기보고서,KRW,entity01310269_udf_IS_201889183832428_IncomeStatementAbstract,"1,300,985,886"
이자수익,[294870],HDC현대산업개발,유가증권시장상장법인,411,건물 건설업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,"11,833,914,285"
이자비용,[294870],HDC현대산업개발,유가증권시장상장법인,411,건물 건설업,12,2020-03-31,1분기보고서,KRW,entity01310269_udf_IS_201889183842213_IncomeStatementAbstract,"3,008,515,934"
영업외손익,[003550],LG,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome,"3,041,000,000"
   금융수익,[003550],LG,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialIncome,"3,287,000,000"
   금융비용,[003550],LG,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00120021_udf_IS_2017113162536398_udf_IS_2017113162511399_IncomeStatementAbstract,"207,000,000"
   기타영업외수익,[003550],LG,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_MiscellaneousIncome,nan
   기타영업외비용,[003550],LG,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00120021_udf_IS_2017113162535334_udf_IS_2017113162511399_IncomeStatementAbstract,"39,000,000"
   기본/희석주당순이익,[003550],LG,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00120021_udf_IS_2017113162719729_EarningsPerShareAbstract,"3,835"
   구형우선주 기본/희석주당순이익,[003550],LG,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00120021_udf_IS_2017113162722152_EarningsPerShareAbstract,"3,885"
영업외손익,[001120],LG상사,유가증권시장상장법인,461,상품 중개업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome,"345,274,323,619"
   금융수익,[001120],LG상사,유가증권시장상장법인,461,상품 중개업,12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialIncome,"72,952,104,664"
   금융원가,[001120],LG상사,유가증권시장상장법인,461,상품 중개업,12,2020-03-31,1분기보고서,KRW,entity00120076_udf_IS_201932011748568_udf_IS_20193201171126_IncomeStatementAbstract,"-88,028,820,959"
   지분법주식관련손익,[001120],LG상사,유가증권시장상장법인,461,상품 중개업,12,2020-03-31,1분기보고서,KRW,entity00120076_udf_IS_201932011758577_udf_IS_20193201171126_IncomeStatementAbstract,"362,773,359,348"
   기타영업외손익,[001120],LG상사,유가증권시장상장법인,461,상품 중개업,12,2020-03-31,1분기보고서,KRW,entity00120076_udf_IS_2019320118996_udf_IS_20193201171126_IncomeStatementAbstract,"-2,422,319,434"
   기본 및 희석 주당이익,[001120],LG상사,유가증권시장상장법인,461,상품 중개업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShare,"6,587"
중단영업손실,[032640],LG유플러스,유가증권시장상장법인,612,전기 통신업,12,2020-03-31,1분기보고서,KRW,entity00231363_udf_IS_2020324182045995_IncomeStatementAbstract,"273,000,000"
   판매비,[011070],LG이노텍,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,dart_MiscellaneousExpenses,"61,173,228,017"
   관리비,[011070],LG이노텍,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,dart_LeaseholdAdministrationExpense,"17,367,032,932"
   연구개발비,[011070],LG이노텍,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,entity00105961_udf_IS_2017113165556859_TotalSellingGeneralAdministrativeExpenses,"70,392,901,983"
   판매비,[066570],LG전자,유가증권시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,dart_MiscellaneousExpenses,"626,898,000,000"
   관리비,[066570],LG전자,유가증권시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,dart_LeaseholdAdministrationExpense,"105,765,000,000"
   연구개발비,[066570],LG전자,유가증권시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00401731_udf_IS_2017102519356924_TotalSellingGeneralAdministrativeExpenses,"462,884,000,000"
   서비스비,[066570],LG전자,유가증권시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00401731_udf_IS_20171025193515377_TotalSellingGeneralAdministrativeExpenses,"103,993,000,000"
      보통주기본주당순이익(손실),[066570],LG전자,유가증권시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00401731_udf_IS_20171025193559532_BasicEarningsLossPerShare,"3,647"
      우선주기본주당순이익(손실),[066570],LG전자,유가증권시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00401731_udf_IS_20171025193610302_BasicEarningsLossPerShare,"3,659"
대손상각비,[037560],LG헬로비전,유가증권시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,entity00222532_udf_IS_2018424202354614_IncomeStatementAbstract,"-3,054,099,171"
금융수익-기타,[037560],LG헬로비전,유가증권시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,entity00222532_udf_IS_201842594932302_IncomeStatementAbstract,"3,650,999,995"
기타영업외수익,[037560],LG헬로비전,유가증권시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,"1,084,928,981"
기타영업외비용,[037560],LG헬로비전,유가증권시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,dart_OtherLosses,"1,431,541,719"
기타의대손상각비,[037560],LG헬로비전,유가증권시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,entity00222532_udf_IS_201842595132327_IncomeStatementAbstract,nan
관계기업투자손익,[037560],LG헬로비전,유가증권시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,entity00222532_udf_IS_2017117162525187_IncomeStatementAbstract,"-142,395,699"
계속영업손익,[051910],LG화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,entity00356361_udf_IS_2020589925188_IncomeStatementAbstract,"344,885,000,000"
중단영업손익,[051910],LG화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossFromDiscontinuedOperations,"-24,177,000,000"
   보통주 기본주당계속영업이익,[051910],LG화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,entity00356361_udf_IS_20171030172124328_EarningsPerShareAbstract,"4,500"
   보통주 기본주당중단영업손실,[051910],LG화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,entity00356361_udf_IS_20205891736218_EarningsPerShareAbstract,-315
   우선주 기본주당계속영업이익,[051910],LG화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,entity00356361_udf_IS_20171030172126562_EarningsPerShareAbstract,"4,513"
   우선주 기본주당중단영업손실,[051910],LG화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,entity00356361_udf_IS_20205891738939_EarningsPerShareAbstract,-315
   보통주 희석주당계속영업이익,[051910],LG화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,entity00356361_udf_IS_201881094911770_EarningsPerShareAbstract,"4,533"
   보통주 희석주당중단영업손실,[051910],LG화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,entity00356361_udf_IS_20205891742227_EarningsPerShareAbstract,-310
   우선주 희석주당계속영업이익,[051910],LG화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,entity00356361_udf_IS_201881094913759_EarningsPerShareAbstract,"4,545"
   우선주 희석주당중단영업손실,[051910],LG화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,entity00356361_udf_IS_20205891746527_EarningsPerShareAbstract,-310
영업비용,[104200],NHN벅스,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,12,2020-03-31,1분기보고서,KRW,ifrs-full_CostOfSales,"15,494,472,860"
   상품및기타구입비용,[017670],SK텔레콤,유가증권시장상장법인,612,전기 통신업,12,2020-03-31,1분기보고서,KRW,entity00159023_udf_IS_2017111013738198_OperatingExpenses,"107,336,000,000"
   기타영업비용,[017670],SK텔레콤,유가증권시장상장법인,612,전기 통신업,12,2020-03-31,1분기보고서,KRW,dart_MiscellaneousExpenses,"251,316,000,000"
기타영업외수익,[017670],SK텔레콤,유가증권시장상장법인,612,전기 통신업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,"14,201,000,000"
기타영업외비용,[017670],SK텔레콤,유가증권시장상장법인,612,전기 통신업,12,2020-03-31,1분기보고서,KRW,dart_OtherLosses,"12,660,000,000"
관계기업 투자관련 이익,[017670],SK텔레콤,유가증권시장상장법인,612,전기 통신업,12,2020-03-31,1분기보고서,KRW,entity00159023_udf_IS_2020316104954119_IncomeStatementAbstract,"7,641,000,000"
종속기업투자손익,[063440],SM Life Design,코스닥시장상장법인,182,기록매체 복제업,12,2020-03-31,1분기보고서,KRW,entity00367604_udf_IS_2018730171427160_IncomeStatementAbstract,"-51,242,223"
관리비,[005610],SPC삼립,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity00125530_udf_IS_20171162072573_IncomeStatementAbstract,"25,389,553,292"
기타차익및차손,[005610],SPC삼립,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity00125530_udf_IS_20171161959713_IncomeStatementAbstract,"-2,540,236,286"
기타영업외이익,[013580],계룡건설산업,유가증권시장상장법인,412,토목 건설업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,"1,911,658,264"
기타영업외비용,[013580],계룡건설산업,유가증권시장상장법인,412,토목 건설업,12,2020-03-31,1분기보고서,KRW,dart_OtherLosses,"1,621,019,961"
지분법투자수익,[004200],고려개발,유가증권시장상장법인,412,토목 건설업,12,2020-03-31,1분기보고서,KRW,entity00102681_udf_IS_2020421153529603_IncomeStatementAbstract,"10,576,569"
   금융비용,[000270],기아자동차,유가증권시장상장법인,301,자동차용 엔진 및 자동차 제조업,12,2020-03-31,1분기보고서,KRW,entity00106641_udf_IS_201711714844261_FinanceIncome,"99,643,000,000"
기타손익,[000270],기아자동차,유가증권시장상장법인,301,자동차용 엔진 및 자동차 제조업,12,2020-03-31,1분기보고서,KRW,entity00106641_udf_IS_2017117141712951_IncomeStatementAbstract,"50,694,000,000"
   기타수익,[000270],기아자동차,유가증권시장상장법인,301,자동차용 엔진 및 자동차 제조업,12,2020-03-31,1분기보고서,KRW,entity00106641_udf_IS_2017117141722751_udf_IS_2017117141712951_IncomeStatementAbstract,"153,543,000,000"
   기타비용,[000270],기아자동차,유가증권시장상장법인,301,자동차용 엔진 및 자동차 제조업,12,2020-03-31,1분기보고서,KRW,entity00106641_udf_IS_2017117141736270_udf_IS_2017117141712951_IncomeStatementAbstract,"102,849,000,000"
지분법이익(손실),[004270],남성,유가증권시장상장법인,467,기타 전문 도매업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,"-521,464,642"
영업수익,[000320],노루홀딩스,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue,"14,263,242,111"
영업비용,[000320],노루홀딩스,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_CostOfSales,"3,306,601,662"
