,한글 Label,Element ID
0,"[D310000] 손익계산서, 기능별 분류 - 연결재무제표",
1,손익계산서 [abstract],ifrs-full_IncomeStatementAbstract
2,수익(매출액),ifrs-full_Revenue
3,재화의 판매로 인한 수익(매출액),ifrs-full_RevenueFromSaleOfGoods
4,제품매출액,dart_RevenueFromSaleOfGoodsProduct
5,상품매출액,dart_RevenueFromSaleOfGoodsMerchandise
6,원재료매출액,dart_RevenueFromSaleOfGoodsRawMaterial
7,어획물매출액,dart_RevenueFromSaleOfGoodsFishing
8,타이어매출,dart_RevenueFromSaleOfGoodsTire
9,용역의 제공으로 인한 수익(매출액),ifrs-full_RevenueFromRenderingOfServices
10,용역매출액,dart_RevenueFromServices
11,게임매출액,dart_RevenueFromRenderingOfServicesGame
12,교육사업매출액,dart_RevenueFromRenderingOfServicesEducation
13,금융업매출액,dart_RevenueFromRenderingOfServicesFinanceBusiness
14,가스충전매출액,dart_RevenueFromSaleOfGoodsGasRecharge
15,방송사업매출액,dart_RevenueFromRenderingOfServicesBroadcastBusiness
16,방송프로그램 매출액,dart_RevenueFromRenderingOfServicesBroadcastProgram
17,물류매출액,dart_RevenueFromRenderingOfServicesDistribution
18,임대수익,dart_RevenueFromRenderingOfServicesRental
19,임가공매출,dart_RevenueFromRenderingOfServicesProcession
20,영화상영수익,dart_RevenueFromRenderingOfServicesMovieShow
21,외식사업매출액,dart_RevenueFromSaleOfGoodsFood
22,운송매출,dart_RevenueFromRenderingOfServicesTransportation
23,정비매출,dart_RevenueFromRenderingOfServicesMaintenance
24,수수료매출,dart_RevenueFromRenderingOfServicesCommission
25,학원매출,dart_RevenueFromRenderingOfServicesEducationInstitute
26,해외자원개발수입,dart_RevenueFromNaturalResourcesExploration
27,호텔매출액,dart_RevenueFromHotelService
28,건설계약으로 인한 수익(매출액),ifrs-full_RevenueFromConstructionContracts
29,공사수익,dart_RevenueFromConstruction
30,분양매출(수익),dart_RevenueFromSaleOfGoodsRealEstate
31,공사부담금수익,dart_RevenueContributionToConstruction
32,로열티수익(매출액),ifrs-full_RevenueFromRoyalties
33,이자수익(매출액),ifrs-full_RevenueFromInterest
34,유효이자율법 계산 이자수익,ifrs-full_InterestRevenueCalculatedUsingEffectiveInterestMethod
35,배당수익(매출액),ifrs-full_RevenueFromDividends
36,정부보조금수익(매출액),dart_RevenueGovernmentGrant
37,기타수익(매출액),ifrs-full_OtherRevenue
38,매출원가,ifrs-full_CostOfSales
39,재화의 판매로 인한 수익(매출액)에 대한 매출원가,dart_CostOfSalesFromSaleOfGoods
40,제품매출원가,dart_CostOfSalesFromSaleOfGoodsProduct
41,상품매출원가,dart_CostOfSalesFromSaleOfGoodsMerchandises
42,원재료매출원가,dart_CostOfSalesFromSaleOfGoodsRawMaterial
43,어획물매출원가,dart_CostOfSalesFromSaleOfGoodsFishing
44,타이어매출원가,dart_CostOfSalesFromSaleOfGoodsTire
45,용역의 제공으로 인한 수익(매출액)에 대한 매출원가,dart_CostOfSalesFromRenderingOfServices
46,용역매출원가,dart_CostOfSalesFromServices
47,게임매출원가,dart_CostOfSalesFromRenderingOfServicesGames
48,교육사업매출원가,dart_CostOfSalesFromRenderingOfServicesEducationBusiness
