,항목명,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드
0,      당기손익으로 재분류될 수 있는 항목의 법인세,대림산업,유가증권시장상장법인,412,토목 건설업,12,2020-03-31,1분기보고서,KRW,dart_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss
1,   관리비,KCI,코스닥시장상장법인,204,기타 화학제품 제조업,12,2020-03-31,1분기보고서,KRW,dart_ExpenseForManagementOfAffairs
2,   판매비,KCI,코스닥시장상장법인,204,기타 화학제품 제조업,12,2020-03-31,1분기보고서,KRW,dart_SalesPromotionExpenses
3,관계기업투자이익,국순당,코스닥시장상장법인,111,알코올음료 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue
4,      (부의)지분법자본변동,E1,유가증권시장상장법인,467,기타 전문 도매업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossBeforeTax
5,      (부의)지분법자본변동,E1,유가증권시장상장법인,467,기타 전문 도매업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossBeforeTax
6,      기타포괄손익-공정가치측정금융자산 평가이익,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,entity00365387
7,   중단영업주당이익,태광산업,유가증권시장상장법인,205,화학섬유 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations
8,   후속적으로 당기손익으로 재분류 할 수 없는 항목,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,entity00365387
9,   후속적으로 당기손익으로 재분류 할 수 있는 항목,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,entity00365387
10,계속영업당기순이익(손실),DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossFromContinuingOperations
11,관계회사투자손익,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,entity00365387
12,기타포괄손익-공정가치 측정 금융자산 평가이익(손실),AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,entity00365387
