,항목코드,항목명
1,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비
2,dart_OperatingIncomeLoss,영업이익
3,dart_OtherGains,기타영업외수익
4,ifrs-full_FinanceIncome,금융수익
5,ifrs-full_FinanceCosts,금융비용
6,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익
7,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익)
8,ifrs-full_ProfitLoss,당기순이익
9,ifrs-full_EarningsPerShareAbstract,주당순이익
10,ifrs-full_BasicEarningsLossPerShare,   보통주 주당순이익
11,ifrs-full_DilutedEarningsLossPerShare,   보통주 희석주당순이익
12,ifrs-full_Revenue,매출액
13,ifrs-full_CostOfSales,매출원가
14,ifrs-full_GrossProfit,매출총이익
20,dart_OtherLosses,기타비용
37,ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실)
38,ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익(손실)
72,dart_RevenueFromConstruction,   공사매출
73,dart_RevenueFromSaleOfGoodsRealEstate,   분양매출
74,ifrs-full_OtherRevenue,   기타매출
76,dart_CostOfSalesFromConstruction,   공사매출원가
77,dart_CostOfSalesFromSaleOfGoodsRealEstate,   분양매출원가
78,dart_OtherCostOfSales,   기타매출원가
93,dart_RevenueFromSaleOfGoodsMerchandise,   상품매출액
94,dart_RevenueFromRenderingOfServicesCommission,   수수료매출
96,dart_CostOfSalesFromSaleOfGoodsMerchandises,   상품매출원가
97,dart_CostOfSalesFromRenderingOfServicesCommission,   수수료매출원가
105,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,관계기업및종속기업관련손익
130,dart_BadDebtExpenses,   대손상각비
131,dart_MiscellaneousExpenses,   기타
136,dart_InterestIncomeFinanceIncome,   이자수익
137,dart_OtherFinancialIncome,   기타
139,dart_InterestExpenseFinanceExpense,   이자비용
140,dart_OtherFinancialExpenses,   기타금융비용
145,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,   계속영업기본주당이익(손실)
147,dart_RevenueFromSaleOfGoodsProduct,   제품매출액
150,dart_CostOfSalesFromSaleOfGoodsProduct,   제품매출원가
169,ifrs-full_RevenueFromConstructionContracts,   건설계약으로 인한 수익(매출액)
174,dart_CostOfSalesFromConstructionContracts,   건설계약으로 인한 수익(매출액)에 대한 매출원가
195,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,      계속영업희석주당이익(손실)
270,ifrs-full_RevenueFromDividends,   배당금수익
271,ifrs-full_RevenueFromRoyalties,   상표권사용수익
272,dart_RevenueFromRenderingOfServicesRental,   임대수익
273,dart_OperatingExpenses,영업비용
274,dart_PersonalExpense,   인건비
275,dart_DepreciationExpense,   감가상각비
323,dart_SalariesWages,   종업권급여
325,dart_Commissions,   기타영업비용
330,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,기타영업외비용
338,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,      계속영업과중단영업 기본주당이익
398,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,      우선주당중단영업손익
467,dart_RevenueFromServices,   매출액
469,ifrs-full_EmployeeBenefitsExpense,   종업원급여
472,dart_NetworkContactSettleExpense,   망접속정산비용
473,dart_ExclusiveLineUseExpense,   전용회선료및전파사용료
474,dart_AdvertisingExpenses,   광고선전비
475,dart_RentalExpenses,   지급임차료
547,dart_ProvisionForSeveranceIndemnities,   퇴직급여
548,dart_EmployeeBenefits,   복리후생비
549,dart_FreightExpenses,   선임과운임
550,dart_OrdinaryDevelopmentExpense,   기술개발비
551,dart_TravelExpenses,   여비교통비
552,dart_CommunicationExpenses,   통신비
553,dart_VehicleMaintenanceExpenses,   차량유지비
554,dart_SupplyExpenses,   소모품비
555,dart_TaxesDues,   제세공과금
556,dart_UtilityExpenses,   수도광열비
558,dart_RepairExpenses,   수선비
559,dart_InsurancePremiums,   보험료
562,dart_ConferenceExpenses,   회의비
563,dart_EntertainmentExpenses,   접대비
564,dart_TrainingExpenses,   도서및교육훈련비
569,dart_GainsForeignCurrencyTransactions,   외환차익
570,dart_GainOnForeignExchangeTranslations,   외화환산이익
571,dart_MiscellaneousIncome,   잡이익
573,dart_LossesForeignCurrencyTransactions,   외환차손
574,dart_LossOnForeignExchangeTranslations,   외화환산손실
575,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,   유형자산처분손실
576,dart_LossesOnDisposalOfIntangibleAssets,   무형자산처분손실
577,dart_MiscellaneousLosses,   잡손실
580,dart_DividendIncome,   배당금수익
581,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,   당기손익-공정가치금융자산처분이익
582,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,   파생상품평가이익
586,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,   당기손익-공정가치금융자산처분손실
620,dart_CostOfSalesFromServices,   용역원가
636,ifrs-full_RevenueFromSaleOfGoods,   재화의 판매로 인한 수익(매출액)
638,ifrs-full_RevenueFromRenderingOfServices,   용역의 제공으로 인한 수익(매출액)
639,dart_RevenueFromRenderingOfServicesProcession,      임가공매출
641,dart_CostOfSalesFromSaleOfGoods,   재화의 판매로 인한 수익(매출액)에 대한 매출원가
642,dart_CostOfSalesFromRenderingOfServices,   용역의 제공으로 인한 수익(매출액)에 대한 매출원가
678,dart_LeaseholdAdministrationExpense,   관리비
963,dart_CostOfSalesFromRenderingOfServicesProcession,   임가공매출원가
999,dart_ImpairmentLossRecoveryOfAccountsReceivables,   수취채권손상차손
1012,dart_RevenueFromRenderingOfServicesTransportation,   운송매출
1015,dart_CostOfSalesFromRenderingOfServicesTransportation,   운송매출원가
1139,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,   외환차익
1140,dart_GainsOnForeignExchangeTranslationsFinancialIncome,   외화환산이익
1142,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,   당기손익-공정가치금융자산평가이익
1143,dart_GainsFromFinancialGuaranteeFinancialIncome,   금융보증채무환입
1146,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,   외환차손
1147,dart_LossesOnForeignExchangeTranslationsFinancialExpense,   외화환산손실
1148,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,   당기손익-공정가치금융자산평가손실
1166,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,   파생상품거래이익(금융수익)
1173,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,   파생상품평가손실(금융원가)
1225,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,   파생상품거래손실(금융원가)
1523,dart_CostOfSalesFromRenderingOfServicesRental,   임대매출원가
1657,dart_PublicationExpenses,   도서인쇄비
1665,dart_AmortisationExpense,   무형자산상각비
1669,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,   기타대손충당금환입
1673,dart_AllowanceForOtherDoubtfulAccounts,   기타의대손상각비
1676,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,   지분법손실
1844,dart_LossesOnSaleOfInvestmentsInSubsidiaries,   종속기업투자주식처분손실
1845,dart_ImpairmentLossesOnAssociates,   관계기업/공동기업투자손상차손
1846,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,   K-IFRS 1109에 따라 결정된 손상차손
1978,dart_WarrantyExpenses,   하자보수비
2088,dart_ExportOverallExpense,   수출제비용
2093,dart_SamplesExpenses,   견본품비
