,항목코드,항목명
1,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비
2,dart_OperatingIncomeLoss,영업이익
3,dart_OtherGains,기타영업외수익
4,ifrs-full_FinanceIncome,금융수익
5,ifrs-full_FinanceCosts,금융비용
6,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익
7,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익)
8,ifrs-full_ProfitLoss,당기순이익
9,ifrs-full_EarningsPerShareAbstract,주당순이익
10,ifrs-full_BasicEarningsLossPerShare,   보통주 주당순이익
11,ifrs-full_DilutedEarningsLossPerShare,   보통주 희석주당순이익
12,ifrs-full_Revenue,매출액
13,ifrs-full_CostOfSales,매출원가
14,ifrs-full_GrossProfit,매출총이익
18,ifrs-full_FinanceCosts,금융원가
19,dart_OtherGains,기타수익
20,dart_OtherLosses,기타비용
21,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실)
22,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용
23,ifrs-full_ProfitLoss,분기순이익(손실)
24,ifrs-full_EarningsPerShareAbstract,주당이익 [abstract]
25,ifrs-full_BasicEarningsLossPerShare,   기본 및 희석주당손익(손실)
30,dart_OperatingIncomeLoss,영업이익(손실)
34,dart_OtherLosses,기타영업외비용
37,ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실)
38,ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익(손실)
39,ifrs-full_ProfitLoss,당기순이익(손실)
41,ifrs-full_BasicEarningsLossPerShare,   기본주당이익(손실)
42,ifrs-full_DilutedEarningsLossPerShare,   희석주당이익(손실)
43,ifrs-full_Revenue,수익(매출액)
48,dart_OtherGains,기타이익
49,dart_OtherLosses,기타손실
70,ifrs-full_DilutedEarningsLossPerShare,   우선주당이익(손실)
72,dart_RevenueFromConstruction,   공사매출
73,dart_RevenueFromSaleOfGoodsRealEstate,   분양매출
74,ifrs-full_OtherRevenue,   기타매출
76,dart_CostOfSalesFromConstruction,   공사매출원가
77,dart_CostOfSalesFromSaleOfGoodsRealEstate,   분양매출원가
78,dart_OtherCostOfSales,   기타매출원가
93,dart_RevenueFromSaleOfGoodsMerchandise,   상품매출액
94,dart_RevenueFromRenderingOfServicesCommission,   수수료매출
96,dart_CostOfSalesFromSaleOfGoodsMerchandises,   상품매출원가
97,dart_CostOfSalesFromRenderingOfServicesCommission,   수수료매출원가
105,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,관계기업및종속기업관련손익
130,dart_BadDebtExpenses,   대손상각비
131,dart_MiscellaneousExpenses,   기타
133,dart_OtherGains,영업외수익
134,dart_OtherLosses,영업외비용
136,dart_InterestIncomeFinanceIncome,   이자수익
139,dart_InterestExpenseFinanceExpense,   이자비용
140,dart_OtherFinancialExpenses,   기타금융비용
143,ifrs-full_ProfitLoss,분기순이익
145,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,   계속영업기본주당이익(손실)
147,dart_RevenueFromSaleOfGoodsProduct,   제품매출액
150,dart_CostOfSalesFromSaleOfGoodsProduct,   제품매출원가
169,ifrs-full_RevenueFromConstructionContracts,   건설계약으로 인한 수익(매출액)
170,dart_RevenueFromConstruction,      공사수익
171,dart_RevenueFromSaleOfGoodsRealEstate,      분양매출(수익)
172,ifrs-full_OtherRevenue,   기타수익(매출액)
174,dart_CostOfSalesFromConstructionContracts,   건설계약으로 인한 수익(매출액)에 대한 매출원가
175,dart_CostOfSalesFromConstruction,      공사매출원가
176,dart_CostOfSalesFromSaleOfGoodsRealEstate,      분양매출원가
177,dart_OtherCostOfSales,   기타수익(매출액)에 대한 매출원가
193,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,      계속영업기본주당이익(손실)
195,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,      계속영업희석주당이익(손실)
196,ifrs-full_Revenue,매출
235,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,"종속기업, 공동지배기업과 관계기업으로부터의 기타수익(비용)"
241,ifrs-full_Revenue,영업수익
242,ifrs-full_CostOfSales,영업비용
248,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,지분법손익
268,ifrs-full_BasicEarningsLossPerShare,   기본및희석주당순이익
269,ifrs-full_Revenue,매출 및 지분법 손익
270,ifrs-full_RevenueFromDividends,   배당금수익
271,ifrs-full_RevenueFromRoyalties,   상표권사용수익
272,dart_RevenueFromRenderingOfServicesRental,   임대수익
274,dart_PersonalExpense,   인건비
275,dart_DepreciationExpense,   감가상각비
276,dart_MiscellaneousExpenses,   기타영업비용
283,ifrs-full_ProfitLossBeforeTax,법인세비용차감전계속영업이익
284,ifrs-full_IncomeTaxExpenseContinuingOperations,계속영업법인세비용
286,ifrs-full_EarningsPerShareAbstract,주당이익(단위 : 원)
302,ifrs-full_EarningsPerShareAbstract,주당손익
316,ifrs-full_EarningsPerShareAbstract,지배기업소유주지분 귀속 주당이익
317,ifrs-full_BasicEarningsLossPerShare,   기본 및 희석 보통주당이익
318,ifrs-full_DilutedEarningsLossPerShare,   기본 및 희석 우선주당이익
320,ifrs-full_CostOfSales,상품구입원가
323,dart_SalariesWages,   종업권급여
324,dart_DepreciationExpense,   감가상각비와무형자산상각비
333,ifrs-full_ProfitLossFromContinuingOperations,계속영업분기순이익
336,ifrs-full_EarningsPerShareAbstract,주당이익(단위:원)
337,ifrs-full_BasicEarningsLossPerShare,   기본및희석주당이익
338,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,      계속영업과중단영업 기본주당이익
339,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,      계속영업 기본주당이익
354,ifrs-full_ProfitLoss,분기기순이익(손실)
374,ifrs-full_EarningsPerShareAbstract,주당순이익(단위:원)
375,ifrs-full_BasicEarningsLossPerShare,   기본주당순이익:
387,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순손익
389,ifrs-full_ProfitLossFromContinuingOperations,계속영업분기순손익
390,ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업손익
391,ifrs-full_ProfitLoss,분기순손익
393,ifrs-full_BasicEarningsLossPerShare,   보통주
394,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,      기본주당계속영업손익
395,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,      기본주당중단영업손익
396,ifrs-full_DilutedEarningsLossPerShare,   우선주
397,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,      우선주당계속영업손익
398,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,      우선주당중단영업손익
403,ifrs-full_FinanceIncome,금융수익-유효이자율법에따른이자수익
414,ifrs-full_BasicEarningsLossPerShare,   기본및희석주당이익(손실)
418,dart_TotalSellingGeneralAdministrativeExpenses,판매비와 관리비
419,dart_OperatingIncomeLoss,영업이익 (손실)
424,ifrs-full_ProfitLossBeforeTax,법인세차감전순이익
454,ifrs-full_GrossProfit,매출총이익(손실)
456,dart_OperatingIncomeLoss,영업손실
461,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순손실
462,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세이익
463,ifrs-full_ProfitLoss,분기순손실
465,ifrs-full_DilutedEarningsLossPerShare,   기본및희석주당순손실
467,dart_RevenueFromServices,   매출액
469,ifrs-full_EmployeeBenefitsExpense,   종업원급여
470,dart_Commissions,   지급수수료
